ocel_id;ocel_time;ocel_changed_field
i5777;2023-10-12 08:54:26;
i5778;2023-10-12 08:54:26;
i5779;2023-10-12 08:54:26;
i5780;2023-10-12 08:54:26;
i5781;2023-10-12 12:21:00;
i5782;2023-10-12 12:21:00;
i5783;2023-10-12 12:21:00;
i5784;2023-10-12 12:21:00;
i5785;2023-10-12 12:21:00;
i5786;2023-10-12 12:21:00;
i5787;2023-10-12 12:21:00;
i5788;2023-10-12 12:21:00;
i5789;2023-10-12 12:21:00;
i5790;2023-10-12 12:21:00;
i5791;2023-10-12 12:21:00;
i5792;2023-10-12 15:11:21;
i5793;2023-10-12 15:11:21;
i5794;2023-10-12 15:11:21;
i5795;2023-10-12 15:11:21;
i5796;2023-10-12 15:11:21;
i5797;2023-10-12 15:11:21;
i5798;2023-10-12 15:11:21;
i5799;2023-10-12 15:11:21;
i5800;2023-10-12 15:11:21;
i5801;2023-10-12 15:11:21;
i5802;2023-10-12 15:11:21;
i5803;2023-10-12 15:11:21;
i5804;2023-10-12 17:52:04;
i5805;2023-10-12 17:52:04;
i5806;2023-10-12 17:52:04;
i5807;2023-10-12 17:52:04;
i5808;2023-10-12 17:52:04;
i5809;2023-10-12 17:52:04;
i5810;2023-10-12 17:52:04;
i5811;2023-10-12 17:52:04;
i5812;2023-10-12 17:52:04;
i5813;2023-10-12 22:34:54;
i5814;2023-10-12 22:34:54;
i5815;2023-10-12 22:34:54;
i5816;2023-10-12 22:34:54;
i5817;2023-10-12 22:34:54;
i5818;2023-10-12 22:34:54;
i5819;2023-10-12 22:34:54;
i5820;2023-10-12 22:34:54;
i5821;2023-10-12 22:34:54;
i5822;2023-10-12 22:34:54;
i5823;2023-10-12 22:34:54;
i5824;2023-10-13 10:27:42;
i5825;2023-10-13 10:27:42;
i5826;2023-10-13 10:27:42;
i5827;2023-10-13 10:27:42;
i5828;2023-10-13 10:27:42;
i5829;2023-10-13 10:27:42;
i5830;2023-10-13 10:27:42;
i5831;2023-10-13 10:27:42;
i5832;2023-10-13 10:27:42;
i5833;2023-10-13 10:27:42;
i5834;2023-10-13 10:27:42;
i5835;2023-10-13 13:24:46;
i5836;2023-10-13 13:24:46;
i5837;2023-10-13 13:24:46;
i5838;2023-10-13 13:24:46;
i5839;2023-10-13 13:24:46;
i5840;2023-10-13 13:24:46;
i5841;2023-10-13 13:24:46;
i5842;2023-10-13 13:24:46;
i5843;2023-10-13 13:24:46;
i5844;2023-10-13 16:18:53;
i5845;2023-10-13 16:18:53;
i5846;2023-10-13 16:18:53;
i5847;2023-10-13 16:18:53;
i5848;2023-10-13 16:18:53;
i5849;2023-10-13 16:18:53;
i5850;2023-10-13 19:07:07;
i5851;2023-10-13 19:07:07;
i5852;2023-10-13 19:07:07;
i5853;2023-10-13 19:07:07;
i5854;2023-10-13 19:07:07;
i5855;2023-10-13 19:07:07;
i5856;2023-10-13 19:07:07;
i5857;2023-10-13 19:07:07;
i5858;2023-10-13 19:07:07;
i5859;2023-10-13 19:07:07;
i5860;2023-10-13 19:07:07;
i5861;2023-10-13 19:07:07;
i5862;2023-10-14 04:36:14;
i5863;2023-10-14 04:36:14;
i5864;2023-10-14 04:36:14;
i5865;2023-10-14 04:36:14;
i5866;2023-10-14 04:36:14;
i5867;2023-10-14 04:36:14;
i5868;2023-10-14 11:15:13;
i5869;2023-10-14 11:15:13;
i5870;2023-10-14 11:15:13;
i5871;2023-10-14 11:15:13;
i5872;2023-10-14 11:15:13;
i5873;2023-10-14 11:15:13;
i5874;2023-10-14 11:15:13;
i5875;2023-10-14 13:59:47;
i5876;2023-10-14 13:59:47;
i5877;2023-10-14 13:59:47;
i5878;2023-10-14 13:59:47;
i5879;2023-10-14 13:59:47;
i5880;2023-10-14 13:59:47;
i5881;2023-10-14 13:59:47;
i5882;2023-10-14 13:59:47;
i5883;2023-10-14 13:59:47;
i5884;2023-10-14 13:59:47;
i5885;2023-10-14 17:28:55;
i5886;2023-10-14 17:28:55;
i5887;2023-10-14 17:28:55;
i5888;2023-10-14 17:28:55;
i5889;2023-10-14 17:28:55;
i5890;2023-10-14 17:28:55;
i5891;2023-10-14 17:28:55;
i5892;2023-10-14 17:28:55;
i5893;2023-10-14 17:28:55;
i5894;2023-10-14 17:28:55;
i5895;2023-10-14 21:25:28;
i5896;2023-10-14 21:25:28;
i5897;2023-10-14 21:25:28;
i5898;2023-10-14 21:25:28;
i5899;2023-10-14 21:25:28;
i5900;2023-10-14 21:25:28;
i5901;2023-10-14 21:25:28;
i5902;2023-10-14 21:25:28;
i5903;2023-10-14 21:25:28;
i5904;2023-10-14 21:25:28;
i5905;2023-10-14 21:25:28;
i5906;2023-10-14 21:25:28;
i5907;2023-10-15 11:19:38;
i5908;2023-10-15 11:19:38;
i5909;2023-10-15 11:19:38;
i5910;2023-10-15 11:19:38;
i5911;2023-10-15 11:19:38;
i5912;2023-10-15 11:19:38;
i5913;2023-10-15 11:19:38;
i5914;2023-10-15 11:19:38;
i5915;2023-10-15 11:19:38;
i5916;2023-10-15 11:19:38;
i5917;2023-10-15 11:19:38;
i5918;2023-10-15 11:19:38;
i5919;2023-10-15 11:19:38;
i5920;2023-10-15 11:19:38;
i5921;2023-10-15 11:19:38;
i5922;2023-10-15 16:37:59;
i5923;2023-10-15 16:37:59;
i5924;2023-10-15 16:37:59;
i5925;2023-10-15 16:37:59;
i5926;2023-10-15 16:37:59;
i5927;2023-10-15 16:37:59;
i5928;2023-10-15 16:37:59;
i5929;2023-10-15 16:37:59;
i5930;2023-10-15 16:37:59;
i5931;2023-10-15 16:37:59;
i5932;2023-10-15 16:37:59;
i5933;2023-10-15 16:37:59;
i5934;2023-10-15 16:37:59;
i5935;2023-10-15 16:37:59;
i5936;2023-10-16 03:11:26;
i5937;2023-10-16 03:11:26;
i5938;2023-10-16 03:11:26;
i5939;2023-10-16 03:11:26;
i5940;2023-10-16 03:11:26;
i5941;2023-10-16 03:11:26;
i5942;2023-10-16 03:11:26;
i5943;2023-10-16 03:11:26;
i5944;2023-10-16 03:11:26;
i5945;2023-10-16 03:11:26;
i5946;2023-10-16 03:11:26;
i5947;2023-10-16 03:11:26;
i5948;2023-10-16 03:11:26;
i5949;2023-10-16 03:11:26;
i5950;2023-10-16 10:41:56;
i5951;2023-10-16 10:41:56;
i5952;2023-10-16 10:41:56;
i5953;2023-10-16 10:41:56;
i5954;2023-10-16 10:41:56;
i5955;2023-10-16 10:41:56;
i5956;2023-10-16 10:41:56;
i5957;2023-10-16 10:41:56;
i5958;2023-10-16 10:41:56;
i5959;2023-10-16 13:53:13;
i5960;2023-10-16 13:53:13;
i5961;2023-10-16 13:53:13;
i5962;2023-10-16 13:53:13;
i5963;2023-10-16 13:53:13;
i5964;2023-10-16 13:53:13;
i5965;2023-10-16 13:53:13;
i5966;2023-10-16 13:53:13;
i5967;2023-10-16 13:53:13;
i5968;2023-10-16 13:53:13;
i5969;2023-10-16 13:53:13;
i5970;2023-10-16 13:53:13;
i5971;2023-10-16 13:53:13;
i5972;2023-10-16 13:53:13;
